,School_ID,Zip,Ethnic_Minority_Percentage,Low_Income_Percentage,Special_Ed_Percentage,English_Learners_Percentage,College_Enrollment_Rate_School
4,400119,60624,1.0,0.8433179723502304,0.19815668202764977,0.004608294930875576,62.0
5,400176,60629,1.0,0.7814569536423841,0.19205298013245034,0.10596026490066225,10.5
25,609693,60624,0.9682926829268292,0.7739837398373983,0.08455284552845528,0.05853658536585366,86.2
28,609709,60629,0.9913544668587896,0.8472622478386167,0.1873198847262248,0.3919308357348703,48.0
30,610558,60652,0.9947534102833159,0.8604407135362014,0.1720881427072403,0.20356768100734524,59.2
32,400173,60632,0.9703703703703703,0.8666666666666667,0.16049382716049382,0.254320987654321,16.7
37,400051,60642,0.9716417910447761,0.764179104477612,0.12686567164179105,0.24029850746268658,86.7
46,400085,60632,0.9808612440191388,0.8516746411483254,0.17703349282296652,0.4130781499202552,58.7
47,610245,60644,1.0,0.9142857142857143,0.22857142857142856,0.0,33.3
48,609698,60652,0.987719298245614,0.7894736842105263,0.25263157894736843,0.21228070175438596,49.3
49,400145,60616,0.98989898989899,0.7575757575757576,0.25252525252525254,0.020202020202020204,7.2
59,609751,60653,0.9914529914529915,0.7678062678062678,0.13247863247863248,0.014245014245014245,86.6
61,400150,60619,1.0,0.8902439024390244,0.21951219512195122,0.0,20.0
65,610587,60615,0.9959349593495935,0.7967479674796748,0.19308943089430894,0.008130081300813009,56.8
77,400143,60612,0.96,0.6533333333333333,0.24,0.02666666666666667,9.5
81,400129,60637,1.0,0.7346938775510204,0.22448979591836735,0.02040816326530612,7.0
85,400098,60602,0.9854318418314256,0.7960457856399584,0.12903225806451613,0.14360041623309053,75.3
86,610390,60634,0.8656126482213439,0.6976284584980237,0.15810276679841898,0.233201581027668,56.9
94,609712,60619,0.9615384615384616,0.7211538461538461,0.2692307692307692,0.0,27.3
103,609680,60610,0.6507936507936508,0.32142857142857145,0.09682539682539683,0.023809523809523808,88.7
104,610323,60617,0.9940828402366864,0.8284023668639053,0.34911242603550297,0.11242603550295859,45.1
106,609738,60614,0.6779580152671756,0.44656488549618323,0.07251908396946564,0.07061068702290077,81.8
112,610568,60618,0.9310344827586207,0.8241379310344827,0.20344827586206896,0.1413793103448276,18.3
117,609730,60660,0.8136645962732919,0.7073844030365769,0.13388543823326432,0.2608695652173913,69.2
119,610564,60618,0.8261455525606469,0.623989218328841,0.15768194070080863,0.11590296495956873,74.3
121,609704,60623,0.9938524590163934,0.9036885245901639,0.2540983606557377,0.38114754098360654,45.2
134,610571,60612,0.9928057553956835,0.8201438848920863,0.15827338129496402,0.04316546762589928,16.3
137,609759,60622,0.9690860215053764,0.7110215053763441,0.21774193548387097,0.4032258064516129,48.9
144,609734,60631,0.5666192508297772,0.5052157420578474,0.12256993835941205,0.18634423897581792,75.3
149,609764,60608,0.983670803396473,0.8954931417374266,0.14239059438275636,0.36642717178314826,57.9
152,400128,60623,0.9846153846153847,0.8153846153846154,0.24615384615384617,0.015384615384615385,7.1
159,400086,60621,1.0,0.865979381443299,0.2268041237113402,0.020618556701030927,50.0
177,610547,60649,0.9946996466431095,0.7791519434628975,0.12014134275618374,0.014134275618374558,73.7
178,609679,60639,0.9828767123287672,0.877568493150685,0.1558219178082192,0.22945205479452055,71.5
189,400137,60653,1.0,0.7922077922077922,0.15584415584415584,0.0,32.1
190,400035,60626,0.9384116693679092,0.8719611021069692,0.0940032414910859,0.39222042139384117,62.5
191,400125,60641,0.9846938775510204,0.7346938775510204,0.16326530612244897,0.37755102040816324,11.3
196,400106,60621,0.9934782608695653,0.9065217391304348,0.21739130434782608,0.010869565217391304,62.1
201,609694,60638,0.9241245136186771,0.6634241245136187,0.057392996108949414,0.03988326848249027,73.2
202,400126,60651,0.9887640449438202,0.6629213483146067,0.16853932584269662,0.16853932584269662,8.0
207,609750,60608,1.0,0.8181818181818182,0.22727272727272727,0.18181818181818182,27.3
208,609678,60605,0.6843177189409368,0.3981670061099796,0.09012219959266803,0.03004073319755601,88.3
215,609733,60626,0.8442280945757997,0.7677329624478443,0.20584144645340752,0.5285118219749653,60.9
222,609674,60617,0.9791304347826087,0.8139130434782609,0.3217391304347826,0.029565217391304348,28.7
225,609737,60625,0.8281437125748503,0.6311377245508982,0.07005988023952096,0.12694610778443113,77.2
231,610402,60640,0.8854961832061069,0.7022900763358778,0.04580152671755725,0.061068702290076333,76.9
232,610543,60632,0.990204081632653,0.9020408163265307,0.11755102040816326,0.27755102040816326,68.9
234,400123,60644,0.9819819819819819,0.7387387387387387,0.18018018018018017,0.0,12.1
237,609756,60632,0.9872808525266414,0.8401512547267103,0.11034719834994844,0.27466483327603985,64.9
238,609740,60622,0.8507462686567164,0.6626865671641791,0.1791044776119403,0.3611940298507463,47.0
250,400124,60616,0.9782608695652174,0.7717391304347826,0.25,0.010869565217391304,14.9
257,609755,60607,0.7592425608656447,0.35482416591523896,0.09873760144274121,0.02254283137962128,88.3
268,609749,60625,0.616650532429816,0.3601161665053243,0.11616650532429816,0.030009680542110357,93.2
272,609716,60639,0.9789915966386554,0.8130252100840336,0.19117647058823528,0.4495798319327731,40.0
274,609705,60628,0.9902912621359223,0.8349514563106796,0.24757281553398058,0.014563106796116505,35.1
280,609719,60613,0.9138176638176638,0.7692307692307693,0.15954415954415954,0.21225071225071226,66.9
283,609708,60641,0.9584026622296173,0.8086522462562395,0.19966722129783693,0.46589018302828616,50.0
285,609713,60637,0.9913473423980222,0.9035846724351051,0.18170580964153277,0.013597033374536464,52.4
297,400130,60620,1.0,0.6582278481012658,0.24050632911392406,0.05063291139240506,12.5
298,400061,60620,0.9976019184652278,0.8669064748201439,0.145083932853717,0.002398081534772182,36.2
307,609753,60655,0.7614080834419817,0.49934810951760106,0.23598435462842243,0.04302477183833116,67.1
311,609725,60643,0.9870912220309811,0.7487091222030982,0.14457831325301204,0.00946643717728055,59.8
314,609718,60638,0.8772813089993706,0.6419131529263687,0.19509125235997482,0.19383259911894274,70.8
319,610518,60644,1.0,0.7380952380952381,0.23809523809523808,0.023809523809523808,30.0
321,609710,60628,1.0,0.8557213930348259,0.17412935323383086,0.04975124378109453,30.6
327,400118,60624,0.9972527472527473,0.8131868131868132,0.2664835164835165,0.005494505494505495,55.6
332,609676,60616,0.9945945945945946,0.8864864864864865,0.22972972972972974,0.016216216216216217,38.9
340,400058,60623,0.9936507936507937,0.9206349206349206,0.2698412698412698,0.006349206349206349,66.7
341,400170,60610,0.982725527831094,0.8119001919385797,0.1381957773512476,0.18618042226487524,79.8
342,400172,60618,0.9839034205231388,0.8309859154929577,0.23742454728370221,0.482897384305835,37.9
346,610529,60642,0.862475442043222,0.6856581532416502,0.10609037328094302,0.09430255402750491,81.5
349,400156,60628,0.9968553459119497,0.8757861635220126,0.17452830188679244,0.025157232704402517,62.5
352,400032,60620,1.0,0.8227272727272728,0.21363636363636362,0.00909090909090909,41.4
356,609720,60618,0.5680460278822749,0.3644611639743306,0.09139190086302279,0.026997123257357824,89.5
357,400144,60651,0.9836065573770492,0.7704918032786885,0.22950819672131148,0.03278688524590164,14.1
361,400169,60639,0.9871677360219981,0.8854262144821264,0.14115490375802017,0.3235563703024748,83.1
364,400121,60645,0.9760479041916168,0.8283433133732535,0.18163672654690619,0.4151696606786427,57.7
366,609723,60624,1.0,0.8392857142857143,0.30952380952380953,0.011904761904761904,38.6
370,400091,60608,0.9923469387755102,0.9209183673469388,0.21683673469387754,0.05612244897959184,31.1
371,610569,60631,0.7729257641921398,0.6986899563318777,0.22270742358078602,0.13973799126637554,23.0
372,400053,60642,0.9690880989180835,0.8315301391035549,0.16228748068006182,0.2642967542503864,78.7
373,610385,60623,1.0,0.8055555555555556,0.18253968253968253,0.4801587301587302,42.9
374,609715,60632,0.9852420306965761,0.9085005903187722,0.1782762691853601,0.4244391971664699,55.5
376,609729,60641,0.9549624687239366,0.8215179316096747,0.22768974145120935,0.4186822351959967,55.7
379,400013,60618,0.9883268482490273,0.8015564202334631,0.1867704280155642,0.5214007782101168,30.5
384,610513,60609,0.9747899159663865,0.7899159663865546,0.19327731092436976,0.226890756302521,50.0
387,610389,60624,0.9904761904761905,0.7523809523809524,0.22380952380952382,0.16666666666666666,28.6
393,400167,60609,0.9803664921465969,0.8180628272251309,0.11518324607329843,0.29581151832460734,58.6
398,400131,60622,0.9609375,0.6796875,0.203125,0.1484375,14.5
399,609692,60620,0.9972144846796658,0.8653667595171773,0.15134633240482823,0.005571030640668524,48.3
404,400117,60620,0.9980544747081712,0.7626459143968871,0.21011673151750973,0.007782101167315175,75.2
411,609722,60612,1.0,0.759493670886076,0.31645569620253167,0.0,23.5
414,400094,60617,0.9586466165413534,0.9022556390977443,0.21052631578947367,0.21428571428571427,50.5
415,609760,60827,0.9878345498783455,0.8199513381995134,0.1411192214111922,0.1897810218978102,50.8
417,400033,60643,0.9967105263157895,0.8388157894736842,0.1669407894736842,0.005756578947368421,34.0
419,609682,60609,0.9422382671480144,0.779783393501805,0.18411552346570398,0.40794223826714804,40.0
424,610380,60615,1.0,0.8987341772151899,0.1518987341772152,0.012658227848101266,75.0
426,400034,60659,0.8530465949820788,0.7598566308243727,0.21505376344086022,0.35005973715651134,63.5
430,400115,60629,0.9779411764705882,0.8768382352941176,0.12867647058823528,0.24448529411764705,52.1
439,609780,60647,0.9683042789223455,0.9207606973058637,0.13312202852614896,0.3866877971473851,61.0
443,609746,60615,0.9343544857768052,0.5636761487964989,0.052954048140043765,0.014442013129102845,67.0
444,400149,60632,0.9946808510638298,0.7624113475177305,0.17375886524822695,0.48226950354609927,64.1
445,610565,60621,1.0,0.7414634146341463,0.15121951219512195,0.01951219512195122,11.0
447,610340,60634,0.8399280575539568,0.8057553956834532,0.19424460431654678,0.2589928057553957,64.4
449,400105,60616,0.9882352941176471,0.7294117647058823,0.2529411764705882,0.01764705882352941,54.0
457,400104,60608,0.9889908256880734,0.7834862385321101,0.1908256880733945,0.5321100917431193,29.3
470,400054,60639,0.9909274193548387,0.8921370967741935,0.13306451612903225,0.37298387096774194,85.7
474,609728,60625,0.9441340782122905,0.7932960893854749,0.1685288640595903,0.5977653631284916,57.4
477,400077,60637,0.996661101836394,0.7462437395659433,0.14357262103505844,0.008347245409015025,68.3
481,400052,60619,0.995164410058027,0.8520309477756286,0.15473887814313347,0.008704061895551257,73.1
486,400056,60651,0.9970588235294118,0.8529411764705882,0.21764705882352942,0.07941176470588235,53.4
492,610557,60652,0.9571984435797666,0.8443579766536965,0.19455252918287938,0.1556420233463035,27.7
493,610563,60609,0.99,0.925,0.089,0.361,79.7
499,610381,60615,0.9902912621359223,0.9223300970873787,0.27184466019417475,0.009708737864077669,35.7
500,400141,60640,0.8928571428571429,0.6130952380952381,0.13690476190476192,0.20238095238095238,33.3
502,400059,60623,0.9886363636363636,0.9488636363636364,0.17897727272727273,0.002840909090909091,58.7
503,610304,60612,0.9653465346534653,0.9108910891089109,0.07920792079207921,0.2079207920792079,59.6
506,400157,60617,0.9789029535864979,0.8354430379746836,0.2489451476793249,0.1308016877637131,81.8
509,610386,60609,0.9777777777777777,0.7703703703703704,0.15555555555555556,0.4,21.6
511,610244,60644,0.9974424552429667,0.8312020460358056,0.21739130434782608,0.017902813299232736,38.0
519,400162,60641,0.9723698193411264,0.8629117959617428,0.17534537725823593,0.3071200850159405,70.6
522,400133,60602,0.9859154929577465,0.8380281690140845,0.22769953051643194,0.023474178403755867,20.1
523,609691,60639,0.9894736842105263,0.8870813397129187,0.17129186602870813,0.3550239234449761,55.8
525,609739,60617,0.9669142471303174,0.825793382849426,0.17893315327481432,0.26198514517218097,58.7
526,610561,60612,0.9924812030075187,0.9022556390977443,0.10150375939849623,0.015037593984962405,75.5
530,400064,60616,0.9938837920489296,0.8165137614678899,0.21100917431192662,0.012232415902140673,56.6
532,400135,60608,0.9870967741935484,0.7290322580645161,0.2,0.3225806451612903,19.2
541,400164,60608,0.9761904761904762,0.7857142857142857,0.11904761904761904,0.30952380952380953,11.8
550,400062,60620,0.9975247524752475,0.849009900990099,0.14356435643564355,0.009900990099009901,46.4
553,610392,60623,0.9908256880733946,0.8623853211009175,0.25076452599388377,0.48623853211009177,79.1
555,610594,60622,0.9673202614379085,0.7908496732026143,0.20261437908496732,0.1568627450980392,10.0
558,609762,60643,0.9892703862660944,0.7896995708154506,0.26824034334763946,0.006437768240343348,42.6
562,400057,60608,0.9807486631016042,0.8620320855614974,0.13368983957219252,0.1443850267379679,84.4
563,610570,60636,0.9951219512195122,0.8292682926829268,0.16097560975609757,0.15609756097560976,12.2
573,400179,60632,0.9962546816479401,0.897003745318352,0.12640449438202248,0.38764044943820225,81.3
577,400136,60628,0.9841269841269841,0.6984126984126984,0.1111111111111111,0.047619047619047616,18.2
579,609732,60634,0.928695652173913,0.8156521739130435,0.16521739130434782,0.38782608695652177,53.0
584,400139,60617,1.0,0.81875,0.190625,0.009375,8.7
596,400055,60642,0.9699499165275459,0.7445742904841403,0.13856427378964942,0.21702838063439064,79.6
597,610391,60636,0.9731343283582089,0.5119402985074627,0.06343283582089553,0.023134328358208955,84.5
603,609761,60628,1.0,0.8131868131868132,0.2673992673992674,0.029304029304029304,45.1
605,610383,60623,0.9931972789115646,0.8945578231292517,0.14965986394557823,0.3707482993197279,49.1
608,609741,60629,0.9849939975990396,0.9027611044417767,0.13445378151260504,0.3055222088835534,60.0
613,610384,60623,0.9857142857142858,0.9357142857142857,0.14047619047619048,0.3,56.3
615,609695,60625,0.5836109260493004,0.42038640906062624,0.16055962691538975,0.11992005329780146,68.0
624,400022,60622,0.8053244592346089,0.540765391014975,0.1064891846921797,0.06156405990016639,73.4
625,609724,60659,0.8713519952352591,0.7504466944609887,0.16617033948779036,0.41631923764145323,72.5
630,609754,60653,0.9812206572769953,0.8169014084507042,0.13145539906103287,0.13615023474178403,50.6
631,609726,60628,0.9866117404737385,0.592173017507724,0.08032955715756952,0.005149330587023687,80.4
632,400147,60643,0.9820627802690582,0.7040358744394619,0.10762331838565023,0.004484304932735426,16.4
638,400066,60653,0.9881305637982196,0.8545994065281899,0.10979228486646884,0.0,55.7
640,609735,60609,0.8687782805429864,0.7647058823529411,0.3167420814479638,0.2986425339366516,40.5
642,400175,60649,0.9871794871794872,0.6794871794871795,0.15384615384615385,0.02564102564102564,8.7
645,609727,60653,0.9921259842519685,0.863517060367454,0.2020997375328084,0.007874015748031496,57.8
649,610499,60623,0.9907407407407407,0.9629629629629629,0.23148148148148148,0.0,63.4
650,400097,60612,0.9852813852813853,0.8597402597402597,0.18095238095238095,0.13593073593073593,82.6
